transaction_id,invoice_id,customer_id,payment_amount,payment_date,payment_method,status
TX0001,INV0001,C0001,10000,2026-08-09,Wallet,SUCCESS
TX0003,INV0003,C0003,4500,2026-08-03,NetBanking,SUCCESS
TX0004,INV0004,C0004,5000,2026-08-09,NetBanking,SUCCESS
TX0005,INV0005,C0005,2500,2026-08-24,Wallet,SUCCESS
TX0006,INV0006,C0006,2000,2026-08-10,NetBanking,SUCCESS
TX0007,INV0007,C0007,25000,2026-08-22,Wallet,SUCCESS
TX0008,INV0008,C0008,4500,2026-08-09,Wallet,SUCCESS
TX0009,INV0009,C0009,1500,2026-08-02,Card,SUCCESS
TX0010,INV0010,C0010,20000,2026-08-14,Wallet,SUCCESS
TX0011,INV0011,C0011,15000,2026-08-17,UPI,SUCCESS
TX0012,INV0012,C0012,20000,2026-08-06,NetBanking,SUCCESS
TX0013,INV0013,C0013,1500,2026-08-13,Wallet,SUCCESS
TX0014,INV0014,C0014,1200,2026-08-10,UPI,SUCCESS
TX0015,INV0015,C0015,20000,2026-08-11,NetBanking,SUCCESS
TX0016,INV0016,C0016,2000,2026-08-18,NetBanking,SUCCESS
TX0017,INV0017,C0017,7500,2026-08-01,NetBanking,SUCCESS
TX0018,INV0018,C0018,2500,2026-08-03,UPI,SUCCESS
TX0019,INV0019,C0019,1500,2026-08-16,Card,SUCCESS
TX0020,INV0020,C0020,2000,2026-08-17,Wallet,SUCCESS
TX0021,INV0021,C0021,2500,2026-08-19,NetBanking,SUCCESS
TX0022,INV0022,C0022,5000,2026-08-23,Wallet,SUCCESS
TX0023,INV0023,C0023,1500,2026-08-09,NetBanking,SUCCESS
TX0024,INV0024,C0024,950,2026-08-20,UPI,SUCCESS
TX0025,INV0025,C0025,1500,2026-08-21,UPI,SUCCESS
TX0026,INV0026,C0026,1200,2026-08-11,Card,SUCCESS
TX0027,INV0027,C0027,3000,2026-08-17,Card,SUCCESS
TX0028,INV0028,C0028,25000,2026-08-22,Wallet,SUCCESS
TX0029,INV0029,C0029,5000,2026-08-07,Wallet,SUCCESS
TX0030,INV0030,C0030,4500,2026-08-17,UPI,SUCCESS
TX0030,INV0030,C0030,4500,2026-08-17,UPI,SUCCESS
TX0031,INV0031,C0031,1200,2026-08-15,Card,SUCCESS
TX0032,INV0032,C0032,2500,2026-08-10,Wallet,SUCCESS
TX0033,INV0033,C0033,2000,2026-08-12,UPI,SUCCESS
TX0034,INV0034,C0034,7500,2026-08-18,UPI,SUCCESS
TX0035,INV0035,C0035,1500,2026-08-09,Wallet,SUCCESS
TX0036,INV0036,C0036,7500,2026-08-10,Card,SUCCESS
TX0037,INV0037,C0037,5000,2026-08-04,Wallet,SUCCESS
TX0038,INV0038,C0038,3000,2026-08-17,Card,SUCCESS
TX0039,INV0039,C0039,3000,2026-08-07,UPI,SUCCESS
TX0040,INV0040,C0040,25000,2026-08-11,Wallet,SUCCESS
TX0041,INV0041,C0041,10000,2026-08-18,UPI,SUCCESS
TX0042,INV0042,C0042,1750,2026-08-03,Wallet,SUCCESS
TX0043,INV0043,C0043,1500,2026-08-20,UPI,SUCCESS
TX0044,INV0044,C0044,15000,2026-08-06,NetBanking,SUCCESS
TX0045,INV0045,C0045,3000,2026-08-09,NetBanking,SUCCESS
TX0046,INV0046,C0046,5000,2026-08-07,NetBanking,SUCCESS
TX0047,INV0047,C0047,1500,2026-08-04,UPI,SUCCESS
TX0049,INV0049,C0049,3000,2026-08-07,Card,SUCCESS
TX0050,INV0050,C0050,4500,2026-08-11,NetBanking,SUCCESS
TX0051,INV0051,C0051,15000,2026-08-21,NetBanking,SUCCESS
TX0052,INV0052,C0052,20000,2026-08-05,UPI,SUCCESS
TX0053,INV0053,C0053,1500,2026-08-19,NetBanking,SUCCESS
TX0054,INV0054,C0054,15000,2026-08-09,NetBanking,SUCCESS
TX0055,INV0055,C0055,10000,2026-08-18,UPI,SUCCESS
TX0056,INV0056,C0056,20000,2026-08-16,UPI,SUCCESS
TX0057,INV0057,C0057,4500,2026-08-07,Wallet,SUCCESS
TX0058,INV0058,C0058,10000,2026-08-14,UPI,SUCCESS
TX0059,INV0059,C0059,25000,2026-08-05,Card,SUCCESS
TX0060,INV0060,C0060,5000,2026-08-05,NetBanking,SUCCESS
TX0061,INV0061,C0061,1200,2026-08-13,Card,SUCCESS
TX0062,INV0062,C0062,20000,2026-08-06,Wallet,SUCCESS
TX0063,INV0063,C0063,15000,2026-08-06,Card,SUCCESS
TX0064,INV0064,C0064,4500,2026-08-02,Wallet,SUCCESS
TX0065,INV0065,C0065,20000,2026-08-10,UPI,SUCCESS
TX0066,INV0066,C0066,5000,2026-08-05,Card,SUCCESS
TX0067,INV0067,C0067,7500,2026-08-14,Card,SUCCESS
TX0068,INV0068,C0068,1200,2026-08-10,NetBanking,SUCCESS
TX0069,INV0069,C0069,1500,2026-08-11,Wallet,SUCCESS
TX0070,INV0070,C0070,20000,2026-08-20,UPI,SUCCESS
