result_id,transaction_id,exception_type,decision_type,final_status,final_action,decision_reason,ai_used,ai_attempts,ai_confidence,failure_recovery,human_review_required,ai_override,ai_explanation,created_at,updated_at,audit_generated_at
216,TX0013,SETTLEMENT_MISSING,HUMAN_REVIEW,UNRESOLVED,HUMAN_REVIEW,Transaction requires human review because the automated controller could not safely resolve the exception.,YES,1,1.0,NO,YES,0,"Settlement record is missing for transaction TX0013. While the invoice amount of 1500 matches the payment amount of 1500.0, Python financial validation confirms that settlement information is absent.",2026-09-01T13:00:12,2026-09-02T09:24:18,2026-09-02T09:33:52
217,TX0016,SETTLEMENT_DELAY,AI_RESOLUTION,RESOLVED,APPROVE_SETTLEMENT,Transaction was routed to AI reasoning and received a successful AI resolution.,YES,1,1.0,NO,NO,0,"The settlement calculation is valid and matches the invoice and payment amounts. Although settlement occurred 15 days after payment, all financial figures reconcile perfectly with zero discrepancy.",2026-09-01T13:00:23,2026-09-02T09:24:18,2026-09-02T09:33:52
218,TX0024,AMOUNT_DISCREPANCY,HUMAN_REVIEW,UNRESOLVED,HUMAN_REVIEW,Transaction requires human review because the automated controller could not safely resolve the exception.,YES,2,1.0,NO,YES,0,"The invoice amount of 1200 does not match the payment amount of 950.0, leaving an unexplained difference of 250.0. Additionally, settlement information is missing, making settlement validation impossible.",2026-09-01T13:00:24,2026-09-02T09:24:18,2026-09-02T09:33:52
219,TX0033,SETTLEMENT_MISSING,HUMAN_REVIEW,UNRESOLVED,HUMAN_REVIEW,Transaction requires human review because the automated controller could not safely resolve the exception.,YES,1,1.0,NO,YES,0,Settlement data is missing for transaction TX0033 despite payment of 2000.0 matching invoice INV0033 amount of 2000.,2026-09-01T13:00:24,2026-09-02T09:24:18,2026-09-02T09:33:52
220,TX0042,AMOUNT_DISCREPANCY,HUMAN_REVIEW,UNRESOLVED,HUMAN_REVIEW,Transaction requires human review because the automated controller could not safely resolve the exception.,YES,1,1.0,NO,YES,0,"Invoice amount (2000) does not match payment amount (1750.0), resulting in a difference of 250.0. Settlement information is missing and validation failed.",2026-09-01T13:00:24,2026-09-02T09:24:18,2026-09-02T09:33:52
221,TX0047,SETTLEMENT_MISSING,AI_FAILURE_RECOVERY,UNRESOLVED,HUMAN_REVIEW,"AI reasoning was attempted, but the AI path was unavailable or exhausted. The controller stopped further retries and escalated the transaction to human review.",YES,1,0.0,YES,YES,1,Gemini exception analysis could not be completed.,2026-09-01T13:00:24,2026-09-02T09:24:18,2026-09-02T09:33:52
222,TX0064,AMOUNT_DISCREPANCY,AI_FAILURE_RECOVERY,UNRESOLVED,HUMAN_REVIEW,"AI reasoning was attempted, but the AI path was unavailable or exhausted. The controller stopped further retries and escalated the transaction to human review.",YES,1,0.0,YES,YES,1,Gemini exception analysis could not be completed.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
223,TX0001,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
224,INVOICE:INV0002,INVALID_TRANSACTION_ID,AI_FAILURE_RECOVERY,UNRESOLVED,HUMAN_REVIEW,"AI reasoning was attempted, but the AI path was unavailable or exhausted. The controller stopped further retries and escalated the transaction to human review.",NO,0,0.0,YES,YES,1,Record requires human review. Automated processing cannot safely resolve the data-integrity issue.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
225,TX0003,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
226,TX0004,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
227,TX0005,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
228,TX0006,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
229,TX0007,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
230,TX0008,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
231,TX0009,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:17,2026-09-02T09:33:52
232,TX0010,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
233,TX0011,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
234,TX0012,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
235,TX0014,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
236,TX0015,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
237,TX0017,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
238,TX0018,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
239,TX0019,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
240,TX0020,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
