transaction_id,invoice_id,expected_status,exception_type
TX0001,INV0001,MATCHED,NONE
TX0002,INV0002,EXCEPTION,MISSING_PAYMENT
TX0003,INV0003,MATCHED,NONE
TX0004,INV0004,MATCHED,NONE
TX0005,INV0005,MATCHED,NONE
TX0006,INV0006,MATCHED,NONE
TX0007,INV0007,MATCHED,NONE
TX0008,INV0008,MATCHED,NONE
TX0009,INV0009,MATCHED,NONE
TX0010,INV0010,MATCHED,NONE
TX0011,INV0011,MATCHED,NONE
TX0012,INV0012,EXCEPTION,FEE_DIFFERENCE
TX0013,INV0013,EXCEPTION,MISSING_SETTLEMENT
TX0014,INV0014,MATCHED,NONE
TX0015,INV0015,MATCHED,NONE
TX0016,INV0016,EXCEPTION,DATE_MISMATCH
TX0017,INV0017,MATCHED,NONE
TX0018,INV0018,MATCHED,NONE
TX0019,INV0019,MATCHED,NONE
TX0020,INV0020,MATCHED,NONE
TX0021,INV0021,MATCHED,NONE
TX0022,INV0022,MATCHED,NONE
TX0023,INV0023,MATCHED,NONE
TX0024,INV0024,EXCEPTION,AMOUNT_MISMATCH
TX0025,INV0025,MATCHED,NONE
TX0026,INV0026,MATCHED,NONE
TX0027,INV0027,MATCHED,NONE
TX0028,INV0028,MATCHED,NONE
TX0029,INV0029,MATCHED,NONE
TX0030,INV0030,EXCEPTION,DUPLICATE_TRANSACTION
TX0031,INV0031,MATCHED,NONE
TX0032,INV0032,MATCHED,NONE
TX0033,INV0033,EXCEPTION,MISSING_SETTLEMENT
TX0034,INV0034,MATCHED,NONE
TX0035,INV0035,MATCHED,NONE
TX0036,INV0036,MATCHED,NONE
TX0037,INV0037,MATCHED,NONE
TX0038,INV0038,MATCHED,NONE
TX0039,INV0039,MATCHED,NONE
TX0040,INV0040,MATCHED,NONE
TX0041,INV0041,MATCHED,NONE
TX0042,INV0042,EXCEPTION,AMOUNT_MISMATCH
TX0043,INV0043,MATCHED,NONE
TX0044,INV0044,MATCHED,NONE
TX0045,INV0045,MATCHED,NONE
TX0046,INV0046,MATCHED,NONE
TX0047,INV0047,EXCEPTION,MISSING_SETTLEMENT
TX0048,INV0048,EXCEPTION,MISSING_PAYMENT
TX0049,INV0049,MATCHED,NONE
TX0050,INV0050,MATCHED,NONE
TX0051,INV0051,MATCHED,NONE
TX0052,INV0052,MATCHED,NONE
TX0053,INV0053,MATCHED,NONE
TX0054,INV0054,MATCHED,NONE
TX0055,INV0055,MATCHED,NONE
TX0056,INV0056,MATCHED,NONE
TX0057,INV0057,MATCHED,NONE
TX0058,INV0058,MATCHED,NONE
TX0059,INV0059,MATCHED,NONE
TX0060,INV0060,MATCHED,NONE
TX0061,INV0061,MATCHED,NONE
TX0062,INV0062,MATCHED,NONE
TX0063,INV0063,MATCHED,NONE
TX0064,INV0064,EXCEPTION,AMOUNT_MISMATCH
TX0065,INV0065,EXCEPTION,FEE_DIFFERENCE
TX0066,INV0066,MATCHED,NONE
TX0067,INV0067,MATCHED,NONE
TX0068,INV0068,MATCHED,NONE
TX0069,INV0069,MATCHED,NONE
TX0070,INV0070,MATCHED,NONE
