invoice_id,customer_id,transaction_id,status,exception_type,invoice_amount,payment_amount,gross_amount,fee,tax,adjustment,net_amount,difference,reason,exception_category,priority,recommended_action,ai_decision,routing_reason
INV0001,C0001,TX0001,MATCHED,NONE,20000,20000.0,20000.0,400.0,72.0,0.0,19528.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0002,C0002,TX0002,MATCHED,NONE,2000,2000.0,2000.0,40.0,7.2,0.0,1952.8,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0003,C0003,TX0003,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0004,C0004,TX0004,MATCHED,NONE,25000,25000.0,25000.0,500.0,90.0,0.0,24410.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0005,C0005,TX0005,MATCHED,NONE,1200,1200.0,1200.0,24.0,4.32,0.0,1171.68,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0006,C0006,TX0006,MATCHED,NONE,4500,4500.0,4500.0,90.0,16.2,0.0,4393.8,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0007,C0007,TX0007,MATCHED,NONE,15000,15000.0,15000.0,300.0,54.0,0.0,14646.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0008,C0008,TX0008,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0009,C0009,TX0009,EXCEPTION,AMOUNT_MISMATCH,15000,14500.0,,,,,,500.0,Invoice amount ₹15000.00 does not match payment amount ₹14500.00.,AMOUNT_DISCREPANCY,HIGH,Verify invoice and payment amounts,AI_REQUIRED,CONTEXTUAL_REASONING
INV0010,C0010,TX0010,MATCHED,NONE,2500,2500.0,2500.0,50.0,9.0,0.0,2441.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
INV0011,C0011,TX0011,EXCEPTION,AMOUNT_MISMATCH,2000,1900.0,,,,,,100.0,Invoice amount ₹2000.00 does not match payment amount ₹1900.00.,AMOUNT_DISCREPANCY,HIGH,Verify invoice and payment amounts,AI_REQUIRED,CONTEXTUAL_REASONING
INV0012,C0012,TX0012,MATCHED,NONE,10000,10000.0,10000.0,200.0,36.0,0.0,9764.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required,NO_AI,ALREADY_MATCHED
