invoice_id,customer_id,invoice_amount,invoice_date,due_date,status
INV0001,C0001,10000,2026-08-08,2026-08-15,ISSUED
INV0002,C0002,3000,2026-08-21,2026-08-28,ISSUED
INV0003,C0003,4500,2026-08-02,2026-08-09,ISSUED
INV0004,C0004,5000,2026-08-09,2026-08-16,ISSUED
INV0005,C0005,2500,2026-08-21,2026-08-28,ISSUED
INV0006,C0006,2000,2026-08-09,2026-08-16,ISSUED
INV0007,C0007,25000,2026-08-19,2026-08-26,ISSUED
INV0008,C0008,4500,2026-08-08,2026-08-15,ISSUED
INV0009,C0009,1500,2026-08-02,2026-08-09,ISSUED
INV0010,C0010,20000,2026-08-14,2026-08-21,ISSUED
INV0011,C0011,15000,2026-08-15,2026-08-22,ISSUED
INV0012,C0012,20000,2026-08-04,2026-08-11,ISSUED
INV0013,C0013,1500,2026-08-10,2026-08-17,ISSUED
INV0014,C0014,1200,2026-08-09,2026-08-16,ISSUED
INV0015,C0015,20000,2026-08-10,2026-08-17,ISSUED
INV0016,C0016,2000,2026-08-18,2026-08-25,ISSUED
INV0017,C0017,7500,2026-08-01,2026-08-08,ISSUED
INV0018,C0018,2500,2026-08-02,2026-08-09,ISSUED
INV0019,C0019,1500,2026-08-16,2026-08-23,ISSUED
INV0020,C0020,2000,2026-08-16,2026-08-23,ISSUED
INV0021,C0021,2500,2026-08-18,2026-08-25,ISSUED
INV0022,C0022,5000,2026-08-21,2026-08-28,ISSUED
INV0023,C0023,1500,2026-08-08,2026-08-15,ISSUED
INV0024,C0024,1200,2026-08-19,2026-08-26,ISSUED
INV0025,C0025,1500,2026-08-21,2026-08-28,ISSUED
INV0026,C0026,1200,2026-08-11,2026-08-18,ISSUED
INV0027,C0027,3000,2026-08-16,2026-08-23,ISSUED
INV0028,C0028,25000,2026-08-19,2026-08-26,ISSUED
INV0029,C0029,5000,2026-08-07,2026-08-14,ISSUED
INV0030,C0030,4500,2026-08-14,2026-08-21,ISSUED
INV0031,C0031,1200,2026-08-13,2026-08-20,ISSUED
INV0032,C0032,2500,2026-08-07,2026-08-14,ISSUED
INV0033,C0033,2000,2026-08-09,2026-08-16,ISSUED
INV0034,C0034,7500,2026-08-18,2026-08-25,ISSUED
INV0035,C0035,1500,2026-08-08,2026-08-15,ISSUED
INV0036,C0036,7500,2026-08-07,2026-08-14,ISSUED
INV0037,C0037,5000,2026-08-01,2026-08-08,ISSUED
INV0038,C0038,3000,2026-08-14,2026-08-21,ISSUED
INV0039,C0039,3000,2026-08-07,2026-08-14,ISSUED
INV0040,C0040,25000,2026-08-11,2026-08-18,ISSUED
INV0041,C0041,10000,2026-08-17,2026-08-24,ISSUED
INV0042,C0042,2000,2026-08-03,2026-08-10,ISSUED
INV0043,C0043,1500,2026-08-19,2026-08-26,ISSUED
INV0044,C0044,15000,2026-08-03,2026-08-10,ISSUED
INV0045,C0045,3000,2026-08-07,2026-08-14,ISSUED
INV0046,C0046,5000,2026-08-05,2026-08-12,ISSUED
INV0047,C0047,1500,2026-08-01,2026-08-08,ISSUED
INV0048,C0048,1500,2026-08-18,2026-08-25,ISSUED
INV0049,C0049,3000,2026-08-05,2026-08-12,ISSUED
INV0050,C0050,4500,2026-08-10,2026-08-17,ISSUED
INV0051,C0051,15000,2026-08-21,2026-08-28,ISSUED
INV0052,C0052,20000,2026-08-04,2026-08-11,ISSUED
INV0053,C0053,1500,2026-08-18,2026-08-25,ISSUED
INV0054,C0054,15000,2026-08-07,2026-08-14,ISSUED
INV0055,C0055,10000,2026-08-16,2026-08-23,ISSUED
INV0056,C0056,20000,2026-08-14,2026-08-21,ISSUED
INV0057,C0057,4500,2026-08-05,2026-08-12,ISSUED
INV0058,C0058,10000,2026-08-14,2026-08-21,ISSUED
INV0059,C0059,25000,2026-08-05,2026-08-12,ISSUED
INV0060,C0060,5000,2026-08-05,2026-08-12,ISSUED
INV0061,C0061,1200,2026-08-12,2026-08-19,ISSUED
INV0062,C0062,20000,2026-08-04,2026-08-11,ISSUED
INV0063,C0063,15000,2026-08-05,2026-08-12,ISSUED
INV0064,C0064,5000,2026-08-01,2026-08-08,ISSUED
INV0065,C0065,20000,2026-08-08,2026-08-15,ISSUED
INV0066,C0066,5000,2026-08-02,2026-08-09,ISSUED
INV0067,C0067,7500,2026-08-12,2026-08-19,ISSUED
INV0068,C0068,1200,2026-08-07,2026-08-14,ISSUED
INV0069,C0069,1500,2026-08-09,2026-08-16,ISSUED
INV0070,C0070,20000,2026-08-18,2026-08-25,ISSUED
