settlement_id,transaction_id,gross_amount,fee,tax,adjustment,net_amount,settlement_date,status
SET0001,TX0001,10000.0,200.0,36.0,0,9764.0,2026-08-11,SETTLED
SET0002,TX0002,,60.0,10.8,0,2929.2,2026-08-25,SETTLED
SET0003,TX0003,4500.0,90.0,16.2,0,4393.8,2026-08-04,SETTLED
SET0004,TX0004,5000.0,100.0,18.0,0,4882.0,2026-08-10,SETTLED
SET0005,TX0005,2500.0,50.0,9.0,0,2441.0,2026-08-26,SETTLED
SET0006,TX0006,2000.0,40.0,7.2,0,1952.8,2026-08-11,SETTLED
SET0007,TX0007,25000.0,500.0,90.0,0,24410.0,2026-08-25,SETTLED
SET0008,TX0008,4500.0,90.0,16.2,0,4393.8,2026-08-12,SETTLED
SET0009,TX0009,1500.0,30.0,5.4,0,1464.6,2026-08-03,SETTLED
SET0010,TX0010,20000.0,400.0,72.0,0,19528.0,2026-08-16,SETTLED
SET0011,TX0011,15000.0,300.0,54.0,0,14646.0,2026-08-20,SETTLED
SET0012,TX0012,20000.0,800.0,144.0,0,19056.0,2026-08-09,SETTLED
SET0014,TX0014,1200.0,24.0,4.32,0,1171.68,2026-08-13,SETTLED
SET0015,TX0015,20000.0,400.0,72.0,0,19528.0,2026-08-12,SETTLED
SET0016,TX0016,2000.0,40.0,7.2,0,1952.8,2026-09-02,SETTLED
SET0017,TX0017,7500.0,150.0,27.0,0,7323.0,2026-08-03,SETTLED
SET0018,TX0018,2500.0,50.0,9.0,0,2441.0,2026-08-06,SETTLED
SET0019,TX0019,1500.0,30.0,5.4,0,1464.6,2026-08-19,SETTLED
SET0020,TX0020,2000.0,40.0,7.2,0,1952.8,2026-08-19,SETTLED
SET0021,TX0021,2500.0,50.0,9.0,0,2441.0,2026-08-22,SETTLED
SET0022,TX0022,5000.0,100.0,18.0,0,4882.0,2026-08-25,SETTLED
SET0023,TX0023,1500.0,30.0,5.4,0,1464.6,2026-08-10,SETTLED
SET0024,TX0024,950.0,19.0,3.42,0,927.58,2026-08-23,SETTLED
SET0025,TX0025,1500.0,30.0,5.4,0,1464.6,2026-08-22,SETTLED
SET0026,TX0026,1200.0,24.0,4.32,0,1171.68,2026-08-14,SETTLED
SET0027,TX0027,3000.0,60.0,10.8,0,2929.2,2026-08-20,SETTLED
SET0028,TX0028,25000.0,500.0,90.0,0,24410.0,2026-08-23,SETTLED
SET0029,TX0029,5000.0,100.0,18.0,0,4882.0,2026-08-08,SETTLED
SET0030,TX0030,4500.0,90.0,16.2,0,4393.8,2026-08-19,SETTLED
